lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
104.95149096456964,25.788793512838687,古茗(普安金桥百汇店),西街82号,贵州省,黔西南布依族苗族自治州,,餐饮服务;冷饮店;冷饮店,050700,B0LR07OG0S,餐饮服务,冷饮店,冷饮店,
104.9495879218471,25.78452501466557,鼎丰长寿鱼坊,南湖街道东风路59号,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店,050117,B0FFM9CQ2J,餐饮服务,中餐厅,火锅店,
104.96068919427022,25.79224397259097,桂记普田清真馆,盘水街道普安大酒店旁,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;清真菜馆,050121,B0FFJWZPUF,餐饮服务,中餐厅,清真菜馆,
104.95587774762686,25.790554596860936,瑞幸咖啡(普安营盘路店),盘水街道营盘路营盘金座BC栋1-5号,贵州省,黔西南布依族苗族自治州,,餐饮服务;咖啡厅;咖啡厅,050500,B0K2XC8JJM,餐饮服务,咖啡厅,咖啡厅,
104.95510370646,25.789137529247274,老羊头羊肉粉(普安店),盘水镇普安二中旁边,贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFI74PCU,餐饮服务,餐饮相关场所,餐饮相关,
104.95971201649037,25.792092305061466,赵楠小吃美食汇,盘水街道文笔新苑7号楼(移动公司对面),贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFKNSK2D,餐饮服务,中餐厅,中餐厅,
105.15196516859454,25.792190034578194,湖滨酒家,320国道北侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFHYC6GX,餐饮服务,中餐厅,中餐厅,
104.95407951459288,25.789019823753563,爱荟记AIHUIJI(普安店),体育路与南大街交叉口东北134米,贵州省,黔西南布依族苗族自治州,,餐饮服务;糕饼店;糕饼店,050800,B0LAAK4SMQ,餐饮服务,糕饼店,糕饼店,
104.95190049462389,25.788628503337232,梁小糖(一店),南湖街道原百货公司1号(普天购书中心旁),贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0GRBKBOGV,餐饮服务,餐饮相关场所,餐饮相关,
104.95371885179625,25.78885354625986,华莱士·全鸡汉堡(普安盘水店),盘水街道南中路17号,贵州省,黔西南布依族苗族自治州,,餐饮服务;快餐厅;快餐厅,050300,B0J06CQNRG,餐饮服务,快餐厅,快餐厅,
104.95995004139729,25.793239430536833,鑫兰农家乐,盘水街道普天大道信用联社后,贵州省,黔西南布依族苗族自治州,,体育休闲服务;休闲场所;休闲场所|餐饮服务;中餐厅;中餐厅,080500|050100,B0FFKO3C14,体育休闲服务,休闲场所,休闲场所|餐饮服务,中餐厅
104.95445609775616,25.7895632941848,山野村夫老火锅(普安店),盘水街道城市印象14栋3-2门面,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店,050117,B0K01ZDAIC,餐饮服务,中餐厅,火锅店,
104.95592954414884,25.790761603513058,梁小糖(云盘路店),盘水街道营盘金座,贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0HBTX40TZ,餐饮服务,餐饮相关场所,餐饮相关,
104.95365807589933,25.788843678841086,轻轻美味煎饼果子,南中路5号煎饼果子,贵州省,黔西南布依族苗族自治州,,餐饮服务;快餐厅;快餐厅,050300,B0K3ZLHCXI,餐饮服务,快餐厅,快餐厅,
104.94926597587546,25.786405863455524,柳英羊肉馆,西街40号,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B035B0034M,餐饮服务,中餐厅,中餐厅,
104.95189746994852,25.789477036030434,库迪咖啡(普安盘水商场店),盘水街道盘水小区商城1层A区A1,贵州省,黔西南布依族苗族自治州,,餐饮服务;咖啡厅;咖啡厅,050500,B0LKKDN9E1,餐饮服务,咖啡厅,咖啡厅,
104.95445011862428,25.78959432722722,潘记砂锅小肠炖鸡,劳动街14栋2-1,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0LRUHDQEY,餐饮服务,中餐厅,中餐厅,
104.95014980519463,25.78762572055091,山桥氏(金桥百汇店),盘水街道金桥百汇2号楼2楼,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B035B0MSSJ,餐饮服务,中餐厅,中餐厅,
104.95347773203751,25.78900619040501,兴仁小保家清真馆,营盘路9号,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;清真菜馆,050121,B0LR07OGBM,餐饮服务,中餐厅,清真菜馆,
104.95084133437322,25.787835346831443,杭州小笼包店,县西街40号(普安县人民政府西南),贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B035B0MSS6,餐饮服务,中餐厅,中餐厅,
104.95446904217646,25.789743376021434,98烤鱼鲜货烧烤,盘水街道劳动城市印象城14栋3-8号,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0K0PHWVCT,餐饮服务,中餐厅,特色/地方风味餐厅,
104.95502492926337,25.790826760779336,米兰西饼生日蛋糕(普安县店),城市印象15栋1-4门面,贵州省,黔西南布依族苗族自治州,,餐饮服务;糕饼店;糕饼店,050800,B0L0YR7DEF,餐饮服务,糕饼店,糕饼店,
104.95377557583177,25.79044940660817,雪媚娘蛋糕坊,盘水街道城市印象2-2-19,贵州省,黔西南布依族苗族自治州,,餐饮服务;糕饼店;糕饼店,050800,B0H0HRCJZR,餐饮服务,糕饼店,糕饼店,
104.95313099274894,25.789258133481095,昭通一火香烧烤,体育路与南大街交叉口东北100米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0KG2US8UR,餐饮服务,中餐厅,特色/地方风味餐厅,
104.94990669088786,25.787039882753685,赵肠旺面馆(金桥百汇店),县西街和东风路交汇处北30米路西,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFFY2OVW,餐饮服务,中餐厅,中餐厅,
104.94616471637462,25.785442704869464,富源羊肉馆(普安店),环城西路52号新一中旁,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B035B0024B,餐饮服务,中餐厅,中餐厅,
